stem,miou,f1_macro,pixel_accuracy,iou_background,iou_silver,iou_glass,iou_silicon,iou_void,iou_interfacial_void
VCADControl.C17CR11.w1.1,0.5651904344558716,0.6383386570850291,0.9487686157226562,0.9644816517829895,0.8589745163917542,0.07524041831493378,0.9622624516487122,0.3973124027252197,0.13287116587162018
SLTE.C46CR11.w1.2,0.5652903293569883,0.6716188830882616,0.9228299260139465,0.9169450998306274,0.7615879774093628,0.1497005969285965,0.8571798205375671,0.24473920464515686,0.4615892767906189
SLTE.C17BB11.w1.2,0.5665565257271131,0.6598115034725679,0.9716835021972656,0.9898068904876709,0.7241430878639221,0.25536346435546875,0.988170325756073,0.20307862758636475,0.23877675831317902
ALBSF_A21_DI_4H_10K_11,0.6114127077162266,0.7071792683365326,0.8704783320426941,0.9804698824882507,0.8236223459243774,0.31354090571403503,0.8055561184883118,0.6297619342803955,0.11552505940198898
gLASSgLASS.GG1.w1.1,0.6334399829308192,0.7397080196708429,0.9373524785041809,0.8905537128448486,0.8593908548355103,0.307005912065506,0.9243578910827637,0.53095942735672,0.28837209939956665
NPERT.CG006.BL.c4.1,0.6641329824924469,0.7219725443537213,0.8652089238166809,0.9849105477333069,0.9027729630470276,0.7637350559234619,0.957837700843811,0.375541627407074,0.0
SLTE.C36BB21.w6.2,0.6659401704867681,0.7591102831206183,0.917883574962616,0.9062826037406921,0.8067451119422913,0.146823912858963,0.9768343567848206,0.5471022129058838,0.6118528246879578
NPERT_CG006_BL21,0.6815704305966696,0.7758272198170321,0.8946495056152344,0.9590367078781128,0.9253884553909302,0.5804545283317566,0.9454391598701477,0.3985203802585602,0.28058335185050964
TOPCon_sp3230a_es08_DI_4K1,0.6903845071792603,0.7966109757791987,0.9178975224494934,0.9082483053207397,0.8005358576774597,0.38726842403411865,0.981256365776062,0.5186347961425781,0.5463632941246033
SLTE.C17BB11.c5.1,0.6953390340010325,0.7951771337508547,0.9158528447151184,0.8950269222259521,0.9285357594490051,0.41942623257637024,0.9876663684844971,0.4367511570453644,0.5046277642250061
4-10-24_CG002_BJ3_5,0.7092872907718023,0.8012922981896594,0.9465853571891785,0.95844566822052,0.9181419610977173,0.44035881757736206,0.9882162809371948,0.6092185974121094,0.34134241938591003
SLTE.C17BB11.w3.2,0.737328385313352,0.8338059668169611,0.9092661738395691,0.8457805514335632,0.9268272519111633,0.37117162346839905,0.876008927822113,0.6690536737442017,0.7351282835006714
VCADControl.C17BB21.c3.1,0.7444350322087606,0.830748081865973,0.9526774287223816,0.9324485063552856,0.9236468076705933,0.368015319108963,0.9800962805747986,0.765197217464447,0.49720606207847595
SLTE.C46CR11.c1.2,0.759985496600469,0.843791450979766,0.9416897892951965,0.9800844788551331,0.9004811644554138,0.3573843836784363,0.9653369188308716,0.7006807923316956,0.6559452414512634
VCADControl.C17BB21.c2.1,0.7971625725428263,0.8753870728889946,0.9581222534179688,0.9735705256462097,0.9325677156448364,0.5147851705551147,0.9881916046142578,0.7354565858840942,0.6384038329124451
VCAD.C33BB21.c3.1,0.8566891849040985,0.9182109370743352,0.9670486450195312,0.9611411094665527,0.9301522374153137,0.6481384634971619,0.9917965531349182,0.8282488584518433,0.7806578874588013
VCAD.C33BB21.c2.1,0.8837922612826029,0.9356565519404859,0.9703903198242188,0.9678495526313782,0.9318946003913879,0.7243723273277283,0.9891738295555115,0.8811994791030884,0.8082637786865234
