stem,miou,f1_macro,pixel_accuracy,iou_background,iou_silver,iou_glass,iou_silicon,iou_void,iou_interfacial_void
SLTE.C46CR11.w1.2,0.5889995647594333,0.6708414725531502,0.9651896357536316,0.9826377034187317,0.746167004108429,0.027235986664891243,0.9813552498817444,0.34716522693634033,0.449436217546463
SLTE.C17BB11.w1.2,0.6249674782156944,0.7207631897485709,0.9759381413459778,0.9885627627372742,0.7418138980865479,0.14923857152462006,0.9864392280578613,0.43070653080940247,0.4530438780784607
NPERT.CG006.BL.c4.1,0.6532242894172668,0.7136729669722488,0.8587722778320312,0.9922855496406555,0.9192970991134644,0.6826368570327759,0.9562767148017883,0.368849515914917,0.0
VCADControl.C17BB21.c3.1,0.6683385769526163,0.7593273286559664,0.9368107914924622,0.8736976385116577,0.8867627382278442,0.2955082654953003,0.9790344834327698,0.7296192049980164,0.24540913105010986
VCADControl.C17CR11.w1.1,0.6701323427259922,0.7375219194248314,0.9540316462516785,0.9474309086799622,0.8792780637741089,0.005847953259944916,0.9286731481552124,0.6952399015426636,0.5643240809440613
SLTE.C36BB21.w6.2,0.6810561989744505,0.7694630216378836,0.9243037104606628,0.9141839742660522,0.8268256783485413,0.14090488851070404,0.9777400493621826,0.6089190244674683,0.6177635788917542
gLASSgLASS.GG1.w1.1,0.6936396608750025,0.7931085016341819,0.9465739130973816,0.9116823673248291,0.8851823806762695,0.2731539309024811,0.917670488357544,0.5800102353096008,0.5941385626792908
TOPCon_sp3230a_es08_DI_4K1,0.7200620075066885,0.8207155422577426,0.9341303706169128,0.9378628730773926,0.8459051847457886,0.5251997709274292,0.9783584475517273,0.5328876376152039,0.5001581311225891
SLTE.C17BB11.c5.1,0.7264289359251658,0.8230829400740403,0.9257418513298035,0.9217275381088257,0.9086037874221802,0.46739131212234497,0.9892827272415161,0.5343138575553894,0.5372543931007385
SLTE.C46CR11.c1.2,0.7329958602786064,0.8125653926626644,0.9403902888298035,0.9745165109634399,0.9085926413536072,0.2180398851633072,0.9718998074531555,0.7040684819221497,0.620857834815979
NPERT_CG006_BL21,0.7473010818163554,0.8338239286557129,0.9312871098518372,0.9052329063415527,0.9257991909980774,0.6740251183509827,0.9766653180122375,0.677726686000824,0.324357271194458
ALBSF_A21_DI_4H_10K_11,0.7585169722636541,0.8315269240955067,0.9707285761833191,0.9906851649284363,0.9625433683395386,0.41103726625442505,0.9825952649116516,0.8558015823364258,0.34843918681144714
4-10-24_CG002_BJ3_5,0.7643634031216303,0.8504476625213621,0.9552624821662903,0.9656301736831665,0.9210684895515442,0.46613404154777527,0.987817108631134,0.6843267679214478,0.5612038373947144
VCAD.C33BB21.c3.1,0.7685888906319936,0.8452047069842958,0.96124267578125,0.9672133326530457,0.9271949529647827,0.619533896446228,0.9902854561805725,0.7880116701126099,0.3192940354347229
SLTE.C17BB11.w3.2,0.7765514403581619,0.8609055199748185,0.9264310002326965,0.9172084331512451,0.9157825112342834,0.43479105830192566,0.9705539345741272,0.7040385603904724,0.7169341444969177
VCAD.C33BB21.c2.1,0.819704681634903,0.8898546487759574,0.9669405817985535,0.9644432067871094,0.932636559009552,0.584669291973114,0.9875678420066833,0.8838786482810974,0.5650325417518616
VCADControl.C17BB21.c2.1,0.8269531627496084,0.8954381617132562,0.9603271484375,0.9762107729911804,0.9262117147445679,0.5087623000144958,0.9855008721351624,0.7697530388832092,0.7952802777290344
