stem,miou,f1_macro,pixel_accuracy,iou_background,iou_silver,iou_glass,iou_silicon,iou_void,iou_interfacial_void
SLTE.C17BB11.w1.2,0.5774676638344923,0.6638522964378071,0.9691149592399597,0.986169159412384,0.7660467624664307,0.08702545613050461,0.9795900583267212,0.27614152431488037,0.3698330223560333
VCADControl.C17BB21.c3.1,0.6110012903809547,0.7150150727833031,0.8712120056152344,0.9277339577674866,0.7780347466468811,0.20812639594078064,0.7998225688934326,0.7122551202774048,0.24003495275974274
ALBSF_A21_DI_4H_10K_11,0.64725719516476,0.7386485350923105,0.8887926936149597,0.9975144863128662,0.8531174659729004,0.4611894190311432,0.8611533641815186,0.591963529586792,0.11860490590333939
SLTE.C17BB11.c5.1,0.6517110466957092,0.7466187390194458,0.9020525813102722,0.8994489908218384,0.9169324636459351,0.2079402208328247,0.9897578358650208,0.4743104875087738,0.42187628149986267
SLTE.C46CR11.w1.2,0.6553419244786104,0.7388544763037089,0.9728495478630066,0.9893344640731812,0.8181996941566467,0.10235098749399185,0.9851431250572205,0.44872018694877625,0.5883030891418457
NPERT.CG006.BL.c4.1,0.6599597334861755,0.7173280233980984,0.8720283508300781,0.981537938117981,0.9177036881446838,0.7533077597618103,0.9567829370498657,0.3504260778427124,0.0
SLTE.C36BB21.w6.2,0.6618073768913746,0.7504188332546701,0.9136378169059753,0.8975543975830078,0.8056336641311646,0.09948562830686569,0.9706107378005981,0.5993462204933167,0.5982136130332947
VCADControl.C17CR11.w1.1,0.6631104623277982,0.7462303163140763,0.932525634765625,0.9377782940864563,0.8168288469314575,0.055098578333854675,0.8576937913894653,0.6973031759262085,0.6139600872993469
gLASSgLASS.GG1.w1.1,0.676433210571607,0.7886593207475493,0.9280827641487122,0.8832318782806396,0.8192849159240723,0.37609437108039856,0.8983659744262695,0.4823295474052429,0.5992925763130188
TOPCon_sp3230a_es08_DI_4K1,0.6892880797386169,0.7931104484369201,0.9259719848632812,0.9342474341392517,0.8311393857002258,0.43442925810813904,0.9815118908882141,0.5316870808601379,0.42271342873573303
NPERT_CG006_BL21,0.6929178982973099,0.7804945090073332,0.9081624150276184,0.9438392519950867,0.9142691493034363,0.6132426261901855,0.9425377249717712,0.5636774301528931,0.17994120717048645
4-10-24_CG002_BJ3_5,0.7034561137358347,0.7908900359515774,0.9471486210823059,0.950394332408905,0.9245395660400391,0.44413992762565613,0.9900562167167664,0.6551215648651123,0.25648507475852966
VCADControl.C17BB21.c2.1,0.7245971411466599,0.8203412175124355,0.9186058044433594,0.9765437245368958,0.8630629181861877,0.3754390776157379,0.882090151309967,0.750261127948761,0.5001858472824097
SLTE.C17BB11.w3.2,0.7562706768512726,0.842155211233598,0.9188728332519531,0.9063895344734192,0.9200920462608337,0.34944015741348267,0.9700389504432678,0.7155627608299255,0.6761006116867065
SLTE.C46CR11.c1.2,0.7615406711896261,0.8447243200726327,0.9435628056526184,0.9849341511726379,0.9069772958755493,0.3636097311973572,0.970668613910675,0.6997652053833008,0.6432890295982361
VCAD.C33BB21.c3.1,0.7944245338439941,0.8730583483442823,0.9596150517463684,0.9592771530151367,0.9199209213256836,0.5994053483009338,0.9899869561195374,0.7901679277420044,0.507788896560669
VCAD.C33BB21.c2.1,0.8419174353281657,0.9071221805156456,0.9653332829475403,0.9651040434837341,0.9266669750213623,0.6217543482780457,0.9705318212509155,0.9069870114326477,0.6604604125022888
