stem,miou,f1_macro,pixel_accuracy,iou_background,iou_silver,iou_glass,iou_silicon,iou_void,iou_interfacial_void
SLTE.C46CR11.w1.2,0.5561121354500452,0.6534559711530878,0.954199492931366,0.979543924331665,0.6110813021659851,0.13270637392997742,0.9842396974563599,0.23551979660987854,0.39358171820640564
SLTE.C17BB11.w1.2,0.5583128370344639,0.6494841083708798,0.9670054316520691,0.9902943968772888,0.6384304761886597,0.06935729831457138,0.9840779900550842,0.3182201385498047,0.3494967222213745
VCADControl.C17BB21.c3.1,0.558732376123468,0.636997628390724,0.898529052734375,0.8078143000602722,0.8366271257400513,0.1308542937040329,0.9682332277297974,0.5690151453018188,0.03985016420483589
VCADControl.C17CR11.w1.1,0.5725964553033313,0.651575819230675,0.9397417902946472,0.9418647885322571,0.8157221078872681,0.02585410885512829,0.9410163164138794,0.4877399206161499,0.22338148951530457
gLASSgLASS.GG1.w1.1,0.6137018725275993,0.7167530027323655,0.9458172917366028,0.9287688136100769,0.8618882298469543,0.24349181354045868,0.9271817803382874,0.3958143889904022,0.3250662088394165
VCADControl.C17BB21.c2.1,0.6346979793161154,0.7052640211426908,0.9317715764045715,0.9396793246269226,0.9069941639900208,0.31244921684265137,0.9861446619033813,0.6250028610229492,0.03791764751076698
SLTE.C17BB11.c5.1,0.6464328467845917,0.7479700765072961,0.8913828730583191,0.9032180905342102,0.8782954812049866,0.2907097041606903,0.9846963286399841,0.4644099473953247,0.3572675287723541
SLTE.C36BB21.w6.2,0.6736533765991529,0.7603410326340723,0.9291051030158997,0.9419590830802917,0.801862359046936,0.12703002989292145,0.9704833626747131,0.5044097304344177,0.6961756944656372
NPERT.CG006.BL.c4.1,0.6975876490275065,0.7515633620177669,0.8973210453987122,0.9949028491973877,0.9103044867515564,0.7728145718574524,0.9604753851890564,0.5470286011695862,0.0
TOPCon_sp3230a_es08_DI_4K1,0.6978763391574224,0.8054193118281044,0.9168853759765625,0.895898163318634,0.8014991283416748,0.564336895942688,0.9745570421218872,0.4705486595630646,0.4804181456565857
NPERT_CG006_BL21,0.7120931719740232,0.7956740221727902,0.9207839965820312,0.9348101019859314,0.9114206433296204,0.6597230434417725,0.9688727259635925,0.6084049940109253,0.18932752311229706
VCAD.C33BB21.c3.1,0.7223852947354317,0.7991974321691259,0.9512621760368347,0.9642364382743835,0.9048107862472534,0.5494205355644226,0.9859836101531982,0.751017689704895,0.1788427084684372
SLTE.C17BB11.w3.2,0.722956195473671,0.8105298885679506,0.9060414433479309,0.9368947148323059,0.9123764038085938,0.2543095648288727,0.9582337737083435,0.6620776653289795,0.6138450503349304
VCAD.C33BB21.c2.1,0.7361973399917284,0.7997787185037556,0.9571609497070312,0.9567409753799438,0.9161669611930847,0.608652651309967,0.9812185764312744,0.8410542011260986,0.11335067451000214
SLTE.C46CR11.c1.2,0.7571538736422857,0.8467008535158757,0.9363212585449219,0.96196448802948,0.8792315125465393,0.4321846663951874,0.9680672883987427,0.6326478123664856,0.668827474117279
4-10-24_CG002_BJ3_5,0.7866122871637344,0.8683337032519688,0.9501838684082031,0.954146683216095,0.903534471988678,0.4758095443248749,0.9864579439163208,0.6701521277427673,0.7295729517936707
ALBSF_A21_DI_4H_10K_11,0.8347254196802775,0.8964208304645266,0.9715042114257812,0.9861140847206116,0.9572347402572632,0.448238730430603,0.9816129803657532,0.8670790791511536,0.7680729031562805
