stem,miou,f1_macro,pixel_accuracy,iou_background,iou_silver,iou_glass,iou_silicon,iou_void,iou_interfacial_void
SLTE.C17BB11.w1.2,0.560996566574128,0.6437569056479386,0.9675242304801941,0.9845741391181946,0.6528578400611877,0.0003118178865406662,0.9774162173271179,0.39578643441200256,0.35503295063972473
SLTE.C46CR11.w1.2,0.594680793893834,0.6725574298675238,0.9628435969352722,0.983460009098053,0.72630774974823,0.0023255813866853714,0.9720520377159119,0.33884984254837036,0.5450895428657532
VCADControl.C17CR11.w1.1,0.6033064611256123,0.678602962445416,0.9402084350585938,0.9283860325813293,0.8508402109146118,0.019372694194316864,0.8947306275367737,0.676773190498352,0.2497360110282898
gLASSgLASS.GG1.w1.1,0.6348915994167328,0.7427148051038546,0.928918182849884,0.8714985847473145,0.9021618962287903,0.23876360058784485,0.8855507373809814,0.47646281123161316,0.43491196632385254
SLTE.C36BB21.w6.2,0.6387099189062914,0.7304685690197051,0.9033470153808594,0.8775237202644348,0.743892252445221,0.07490602880716324,0.9779111742973328,0.5705640316009521,0.587462306022644
NPERT.CG006.BL.c4.1,0.6636331131060919,0.7260507961350928,0.8705635070800781,0.9843941330909729,0.9055562615394592,0.7234846353530884,0.9278737306594849,0.44048991799354553,0.0
TOPCon_sp3230a_es08_DI_4K1,0.681742250919342,0.791856488467707,0.9140345454216003,0.9036131501197815,0.7829742431640625,0.4804069697856903,0.9738866090774536,0.4804180860519409,0.4691544473171234
VCAD.C33BB21.c3.1,0.7175037624935309,0.7882444327672956,0.9532025456428528,0.9601836800575256,0.9128463864326477,0.5746039748191833,0.9895947575569153,0.74699866771698,0.1207951083779335
SLTE.C17BB11.c5.1,0.7194259166717529,0.8196015610731034,0.9177945256233215,0.8942930102348328,0.8933668732643127,0.4883573651313782,0.9871046543121338,0.5231451392173767,0.5302884578704834
SLTE.C46CR11.c1.2,0.7315727174282074,0.82058478044415,0.93548583984375,0.973088264465332,0.8942389488220215,0.31759482622146606,0.9719516038894653,0.6243147253990173,0.6082479357719421
VCADControl.C17BB21.c3.1,0.7370019356409708,0.8239972444954499,0.9517682194709778,0.932162880897522,0.9137846231460571,0.3850695788860321,0.9807222485542297,0.7806432247161865,0.42962905764579773
VCADControl.C17BB21.c2.1,0.754610687494278,0.8401847615014758,0.9508209228515625,0.972028374671936,0.922588050365448,0.5280376076698303,0.9851478338241577,0.7097636461257935,0.4100986123085022
NPERT_CG006_BL21,0.7583941767613093,0.8456567767442277,0.9168167114257812,0.9761205315589905,0.9351065158843994,0.6067705154418945,0.9153875112533569,0.711395263671875,0.4055847227573395
4-10-24_CG002_BJ3_5,0.7938334842522939,0.8740192557279564,0.9592373967170715,0.9625672698020935,0.927488386631012,0.5281458497047424,0.9859797358512878,0.7224717736244202,0.6363478899002075
VCAD.C33BB21.c2.1,0.806921198964119,0.8798151998854595,0.9635734558105469,0.9690066576004028,0.9218613505363464,0.6275385618209839,0.98903888463974,0.8549779057502747,0.47910383343696594
ALBSF_A21_DI_4H_10K_11,0.8104470123847326,0.8791588247087166,0.9745928645133972,0.9912411570549011,0.9596881866455078,0.4809381663799286,0.9848604202270508,0.8837522864341736,0.5622018575668335
SLTE.C17BB11.w3.2,0.8315801918506622,0.9023529315644886,0.9433339238166809,0.9260971546173096,0.917297899723053,0.5843734741210938,0.9648315906524658,0.7968471050262451,0.8000339269638062
